ds,yhat,yhat_lower,yhat_upper
2000-01-01,126.91875013588691,121.9464920388066,131.80561923870843
2000-02-01,128.25846859646978,123.38538878064553,133.2610729358806
2000-03-01,129.22052500907515,124.18870586775179,133.72234316276837
2000-04-01,129.30897197553537,124.87209802551098,134.11782092972658
2000-05-01,127.47073644476481,122.68417913087191,132.3813663527455
2000-06-01,125.32026422647634,120.47758895731256,130.23024830313875
2000-07-01,126.06312319776134,121.30438473466515,130.89298801099187
2000-08-01,126.7003804339779,121.81914345721583,131.44743983499234
2000-09-01,124.89894408658647,119.81712247236207,129.48439045593204
2000-10-01,127.51703074808562,122.8902741774332,132.18040869210049
2000-11-01,129.31969627466904,124.50026578245003,134.19168407045643
2000-12-01,128.64225901137686,124.14822853854793,133.49118882677766
2001-01-01,129.43025413793399,124.51966619762806,134.0960052284879
2001-02-01,129.40497509106766,124.50078306196917,134.22272491872573
2001-03-01,130.1668800888188,125.59392140740245,134.8101783468563
2001-04-01,130.858649279262,126.33056332559212,135.690177603743
2001-05-01,128.04342721020305,123.07991019628749,132.69128600929258
2001-06-01,125.85624779005528,120.72596742246142,130.80694485219627
2001-07-01,127.23990046550206,122.32812671676248,131.9897663280653
2001-08-01,127.67534410096803,122.59359884026149,132.44868541351812
2001-09-01,125.97691141995017,121.38166068939007,130.77932296629035
2001-10-01,128.30320834217326,123.50029662088122,133.1388353425995
2001-11-01,129.96043074502882,124.86257828345637,135.01597882655793
2001-12-01,130.20575636961382,125.32005685919584,134.91567395434126
2002-01-01,129.83384908614508,125.00176570127493,134.6479543710109
2002-02-01,130.2489837217738,125.33763807827538,134.60333294011403
2002-03-01,131.12151562513566,126.19273393245436,135.82964016077696
2002-04-01,132.40170899037517,127.81796326125541,137.1285672478113
2002-05-01,128.60348018971305,124.01918089680574,133.3039079463968
2002-06-01,126.39882004160506,121.64889361776154,131.37970112042564
2002-07-01,128.42392288620152,123.3060086799276,133.36561060496726
2002-08-01,128.6500927841869,124.02556305506342,133.2384623000231
2002-09-01,127.05231750592621,122.4462049378271,132.19085865458823
2002-10-01,129.08493666891707,124.21450480160118,133.94136795208308
2002-11-01,130.60805215026411,125.54317554821829,135.37667715000205
2002-12-01,131.76515219174382,126.70428805102925,136.5377893747686
2003-01-01,130.22951273595802,125.1699541883834,134.9384088523143
2003-02-01,131.09973082058076,126.57159166506014,136.1934867952165
2003-03-01,132.08420952950507,127.00710149129208,136.8942085365943
2003-04-01,133.93751742646046,129.31751675970662,138.6297120004406
2003-05-01,129.15131141085175,124.22079262553807,134.20474089806933
2003-06-01,126.94847538243653,122.01794190482322,131.67834264550362
2003-07-01,129.61496394860802,124.80037545408449,134.40320554831737
2003-08-01,129.62446208471965,124.52224708331117,134.33136428889864
2003-09-01,128.12499180015044,123.58037167697502,133.0289738593541
2003-10-01,129.86238169833732,125.00996327540749,134.86149032643624
2003-11-01,131.26274768732975,126.53481997538827,135.98594242330154
2003-12-01,133.31993475979945,128.15398414785332,138.48357465580875
2004-01-01,130.61771896625575,125.84761425077595,135.17484965544787
2004-02-01,131.95743742683223,127.21226022372494,136.95649379417304
2004-03-01,132.91949383943984,128.1038991653926,137.4757839714058
2004-04-01,133.00794080589526,128.02532598588752,137.86588311613818
2004-05-01,131.16970527513018,126.48883256424791,136.08296697207757
2004-06-01,129.01923305684485,124.12709494184764,133.82311582742832
2004-07-01,129.76209202812467,125.16926776099126,134.44750218500565
2004-08-01,130.3993492643441,125.48554483878259,135.30891738546393
2004-09-01,128.59791291695163,123.34933311126069,133.05932461856506
2004-10-01,131.2159995784524,125.98900182553211,135.9117629315145
2004-11-01,133.01866510503405,128.49031161790373,137.73038355344337
2004-12-01,132.34122784173877,127.49782293303345,136.70608252094155
2005-01-01,133.1292229682945,128.68179415703537,138.19111842090254
2005-02-01,132.6760581853827,127.75015786700843,137.72171948526181
2005-03-01,133.0514857441173,127.99983906888616,137.84537046412694
2005-04-01,133.31536919850484,128.68696348313665,138.182289820399
2005-05-01,130.08606415907312,125.41199755390609,134.90008455645307
2005-06-01,127.4709990028767,122.45420770422679,132.3910673676573
2005-07-01,128.44056870794785,123.15387876786016,132.92042705335462
2005-08-01,128.44812660735855,123.61036169439186,133.09795186320434
2005-09-01,126.32180819028598,121.16709350373954,131.22295606415696
2005-10-01,128.23402214214107,123.49336104436188,132.9092495134552
2005-11-01,129.4633588089442,124.70000310195095,134.25479479280006
2005-12-01,129.29460146315375,124.79368594122407,133.96570323591115
2006-01-01,128.49480844363663,123.54316517360752,133.03913922874605
2006-02-01,128.48205734320905,123.84566469273895,133.4977905352438
2006-03-01,128.96811180755546,124.07372896140565,133.98664203934905
2006-04-01,129.82041943674267,125.032267780896,134.9643983586065
2006-05-01,125.60810766570776,120.81112501289255,130.2132779419404
2006-06-01,122.97556178154393,118.20392390879336,128.2066233426125
2006-07-01,124.58658165577232,119.57258385512458,129.19017428823994
2006-08-01,124.38486581769983,119.33558650315717,129.28936983652306
2006-09-01,122.35920480339018,117.9141551087978,126.97639990660578
2006-10-01,123.97774099600511,119.37921093620974,129.01892807894697
2006-11-01,125.072970741302,120.09542724500261,129.76384094266453
2006-12-01,125.81598781241057,120.53999273759408,130.84695892221413
2007-01-01,123.85246262057294,118.87237486245782,128.7750923913083
2007-02-01,124.29479496914055,119.42049360328353,129.01393446987288
2007-03-01,124.89279623905047,120.49448976734433,129.57232569241722
2007-04-01,126.31821839995457,121.42048320470852,131.08398701163256
2007-05-01,121.1179294139657,116.3427132434955,125.66046083995971
2007-06-01,118.48720764949795,113.60627293437014,123.42809380309227
2007-07-01,120.73961324530048,115.78169293437226,125.64836488750475
2007-08-01,120.32122564536013,115.64198348935325,125.14749945194826
2007-09-01,118.39386962473999,113.42547947821956,123.12092077564931
2007-10-01,119.71717655254928,115.20336859308551,124.49875316797373
2007-11-01,120.68965680548943,115.84534323697062,125.52911656015029
2007-12-01,122.33276090758943,117.57396069495887,127.39297761576911
2008-01-01,119.20265937798789,114.3550976467861,123.91937668097665
2008-02-01,120.11449210251462,115.18341214873452,124.88370677987636
2008-03-01,120.67626831042742,115.96611892165856,125.12946586498488
2008-04-01,120.33682954083511,115.34256300189033,124.89261175992553
2008-05-01,118.08451103969067,113.098043427325,122.82851652533316
2008-06-01,115.50615308535254,110.84578382228091,120.490760733639
2008-07-01,115.83492908626049,111.2859889040862,120.8298565123746
2008-08-01,116.04430058642615,111.3461596330656,120.90068946992336
2008-09-01,113.81497850298022,109.1341289021446,118.68339202472366
2008-10-01,116.01898219410941,111.8282094861146,120.76297112717323
2008-11-01,117.39376198463971,112.80434381438955,122.4383830914607
2008-12-01,116.30224175097062,111.39813375571674,121.1704606324292
2009-01-01,116.66235114147796,111.2385380368685,121.4992158393895
2009-02-01,116.20918635855871,111.37014872900035,121.21500895973043
2009-03-01,116.58461391729399,111.83418637589558,121.63987883848156
2009-04-01,116.8484973716863,112.07900984540557,121.36895896398829
2009-05-01,113.61919233225179,109.19027867598659,118.55148846932309
2009-06-01,111.00412717605342,105.965946558688,115.9280072258747
2009-07-01,111.97369688112741,107.54444943478804,116.95578913135357
2009-08-01,111.98125478053812,107.04555309043812,117.2643023524769
2009-09-01,109.8549363634675,104.83070557388993,114.50435995355285
2009-10-01,111.76715031531957,106.95856179499677,116.19123928844894
2009-11-01,112.99648698212182,108.22529962746216,117.65528082496125
2009-12-01,112.82772963633349,108.27953346928072,117.53038153881724
2010-01-01,112.02793661681262,107.15325411111618,117.34840360145668
2010-02-01,112.36498689488734,107.63396602956438,117.31717818462829
2010-03-01,113.16699099142484,108.28527153239116,118.16243093458846
2010-04-01,114.36909999911215,109.75673891026278,119.03600503788138
2010-05-01,110.49530569113891,105.90613444588708,115.14303092679982
2010-06-01,108.2125611854743,103.13029799880981,113.12346141061794
2010-07-01,110.16209852276343,105.29713628000307,115.09243873630848
2010-08-01,110.31018406319711,105.66427313127112,115.3016386428619
2010-09-01,108.63432442738224,103.93391999925106,113.73845985040207
2010-10-01,110.5913780830618,105.69159987947202,115.10595145668599
2010-11-01,112.03640920685623,106.76511385528809,116.88811067959222
2010-12-01,113.11794374102944,108.20601604279763,117.78211186165582
2011-01-01,111.50421992768656,106.74110730669771,116.40601425030471
2011-02-01,112.29635365475413,107.08281825763639,117.13883366971659
2011-03-01,113.21030455685866,108.47338957030875,118.08899011568295
2011-04-01,114.98552809626024,109.85315420658695,119.43978941007208
2011-05-01,110.12375657334098,105.47876756182406,114.99052665042139
2011-06-01,107.84283618736988,103.04749603925853,112.58954659220078
2011-07-01,110.43375924623149,105.63505503225726,115.43073685254429
2011-08-01,110.36517302478855,105.46486468927722,115.08611316400591
2011-09-01,108.78761838267157,104.11799705511731,113.81375165910787
2011-10-01,110.4494427735437,105.92270982318044,115.48505685420655
2011-11-01,111.77172440497982,106.76762888023484,116.52870967045114
2011-12-01,113.75334597014262,109.06088365088239,118.73977887974365
2012-01-01,110.97304581904258,106.45289186439209,116.03182383895472
2012-02-01,112.2346799220711,107.22562719325103,116.92843693020923
2012-03-01,113.12368967761014,108.39654006708587,118.00705334157749
2012-04-01,113.13405228651087,108.32277838398987,117.79757890640722
2012-05-01,111.22025124843509,106.40172211081531,116.04032724636727
2012-06-01,108.99169467259705,103.92823348425354,114.03435157375175
2012-07-01,109.65898813656678,105.12119269528365,114.46385322448458
2012-08-01,110.21816101523275,105.336177639792,114.74926158969116
2012-09-01,108.33864031028727,103.58338850824332,113.11770950158378
2012-10-01,110.88116146447521,105.9167741785289,115.68972882277728
2012-11-01,112.60574263350411,107.62523330826502,117.27832679887908
2012-12-01,111.85273986290316,106.99812600447413,116.77503014331897
2013-01-01,112.56265063190548,107.55444902490079,117.14899341463723
2013-02-01,112.45928722748872,107.48758322811653,117.11721852247021
2013-03-01,113.15066441841749,108.28882717780712,117.71979962574916
2013-04-01,113.76434925130145,108.97586305021078,118.74287265084125
2013-05-01,110.87356167493478,105.72375590254899,115.6813133714775
2013-06-01,108.6082978972385,103.78837557156947,113.53061694772852
2013-07-01,109.91638506537218,105.06059600534266,114.91835215675741
2013-08-01,110.27374434328439,105.63524908287873,115.46701402848261
2013-09-01,108.49722730470798,103.61683859963878,113.39799355973452
2013-10-01,110.74795871962671,105.41636424947453,115.58028361172217
2013-11-01,112.32709676492684,107.60577731122852,116.93784259342365
2013-12-01,112.49685688220183,107.79754077738833,117.34458909744689
2014-01-01,112.04686524117852,107.25358706982436,117.2253447534699
2014-02-01,112.38391551925386,107.73687510469951,117.17294278513792
2014-03-01,113.18591961579313,108.31685481112801,117.52669294916731
2014-04-01,114.38802862348051,109.04107614777153,119.17489476082787
2014-05-01,110.5142343155075,105.82452863529844,115.1555927112585
