ds,yhat,yhat_lower,yhat_upper,model,type
2011-09-01,109.61593129999999,,,Historical,historical
2011-10-01,109.52853569999999,,,Historical,historical
2011-11-01,111.26978645,,,Historical,historical
2011-12-01,113.21300629999999,,,Historical,historical
2012-01-01,109.9564544,,,Historical,historical
2012-02-01,109.84641055,,,Historical,historical
2012-03-01,109.01695169999999,,,Historical,historical
2012-04-01,106.5448286,,,Historical,historical
2012-05-01,104.96025044999999,,,Historical,historical
2012-06-01,102.53981865,,,Historical,historical
2012-07-01,101.98400395,,,Historical,historical
2012-08-01,102.36769195,,,Historical,historical
2012-09-01,101.61523715000001,,,Historical,historical
2012-10-01,103.3538234,,,Historical,historical
2012-11-01,103.76708735,,,Historical,historical
2012-12-01,103.84142689999999,,,Historical,historical
2013-01-01,105.57308545,,,Historical,historical
2013-02-01,106.36763934999999,,,Historical,historical
2013-03-01,105.3687183,,,Historical,historical
2013-04-01,106.9967278,,,Historical,historical
2013-05-01,104.73083700000001,,,Historical,historical
2013-06-01,102.55740435,,,Historical,historical
2013-07-01,105.59333565,,,Historical,historical
2013-08-01,106.79875545,,,Historical,historical
2013-09-01,105.81795299999999,,,Historical,historical
2013-10-01,108.37347495,,,Historical,historical
2013-11-01,107.53548969999999,,,Historical,historical
2013-12-01,107.95088525,,,Historical,historical
2014-01-01,110.1728118,,,Historical,historical
2014-02-01,109.3905146,,,Historical,historical
2014-03-01,110.45391655,,,Historical,historical
2014-04-01,113.214605,,,Historical,historical
2014-05-01,110.31642835,,,Historical,historical
2014-06-01,106.75932085,,,Historical,historical
2014-07-01,110.9961423,,,Historical,historical
2014-08-01,112.26551009999999,,,Historical,historical
2014-09-01,108.1451273,,,Historical,historical
2014-10-01,114.47251545,,,Historical,historical
2014-11-01,114.60360884999999,,,Historical,historical
2014-12-01,117.92357584999999,,,Historical,historical
2015-01-01,117.05548175,,,Historical,historical
2015-02-01,117.7964792,,,Historical,historical
2015-03-01,117.75411365,,,Historical,historical
2015-04-01,118.2675628,,,Historical,historical
2015-05-01,113.85541725,,,Historical,historical
2015-06-01,108.8885228,,,Historical,historical
2015-07-01,110.99187909999999,,,Historical,historical
2015-08-01,111.17119994999999,,,Historical,historical
2015-09-01,109.60340814999999,,,Historical,historical
2015-10-01,113.94094770000001,,,Historical,historical
2015-11-01,116.09253145,,,Historical,historical
2015-12-01,118.61767809999999,,,Historical,historical
2016-01-01,119.49243345,,,Historical,historical
2016-02-01,122.12655815,,,Historical,historical
2016-03-01,120.62724399999999,,,Historical,historical
2016-04-01,117.40826154999999,,,Historical,historical
2016-05-01,113.73711344999998,,,Historical,historical
2016-06-01,111.50159795,,,Historical,historical
2016-07-01,112.2452599,,,Historical,historical
2016-08-01,114.47011739999999,,,Historical,historical
2016-09-01,111.50586115,,,Historical,historical
2016-10-01,112.24845729999998,,,Historical,historical
2016-11-01,114.63504995,,,Historical,historical
2016-12-01,116.3555176,,,Historical,historical
2017-01-01,118.50603555,,,Historical,historical
2017-02-01,117.47114375,,,Historical,historical
2017-03-01,118.5627894,,,Historical,historical
2017-04-01,117.65019815000001,,,Historical,historical
2017-05-01,115.03552429999999,,,Historical,historical
2017-06-01,110.93272719999999,,,Historical,historical
2017-07-01,114.25908899999999,,,Historical,historical
2017-08-01,112.68303724999998,,,Historical,historical
2017-09-01,115.60972405,,,Historical,historical
2017-10-01,116.98993505,,,Historical,historical
2017-11-01,123.4366928,,,Historical,historical
2017-12-01,124.7737389,,,Historical,historical
2018-01-01,124.64957319999999,,,Historical,historical
2018-02-01,124.0441988,,,Historical,historical
2018-03-01,124.9964911,,,Historical,historical
2018-04-01,124.2813393,,,Historical,historical
2018-05-01,119.26062194999999,,,Historical,historical
2018-06-01,118.17270659999998,,,Historical,historical
2018-07-01,121.61497415,,,Historical,historical
2018-08-01,121.6871821,,,Historical,historical
2018-09-01,120.53212135,,,Historical,historical
2018-10-01,117.61795769999999,,,Historical,historical
2018-11-01,120.2515495,,,Historical,historical
2018-12-01,126.07961035,,,Historical,historical
2019-01-01,120.90648359999999,,,Historical,historical
2019-02-01,118.67762934999999,,,Historical,historical
2019-03-01,122.59604304999999,,,Historical,historical
2019-04-01,121.34053065,,,Historical,historical
2019-05-01,116.20870365,,,Historical,historical
2019-06-01,115.14103850000001,,,Historical,historical
2019-07-01,116.16340714999998,,,Historical,historical
2019-08-01,115.35872815,,,Historical,historical
2019-09-01,114.08030104999999,,,Historical,historical
2019-10-01,117.12129490000001,,,Historical,historical
2019-11-01,121.21796365,,,Historical,historical
2019-12-01,123.27362539999999,,,Historical,historical
2020-01-01,118.49404529999998,,,Historical,historical
2020-02-01,120.6608167,,,Historical,historical
