Year,Month,Province,Production_e3m3d
2000,January,Alberta,387095
2000,January,British Columbia,54389
2000,January,Canada Total,463099
2000,January,NWT & Yukon,1783
2000,January,New Brunswick,0
2000,January,Nova Scotia,952
2000,January,Ontario,1632
2000,January,Saskatchewan,17248
2000,February,Alberta,391075
2000,February,British Columbia,55006
2000,February,Canada Total,470450
2000,February,NWT & Yukon,1787
2000,February,New Brunswick,0
2000,February,Nova Scotia,3786
2000,February,Ontario,1590
2000,February,Saskatchewan,17207
2000,March,Alberta,389689
2000,March,British Columbia,56918
2000,March,Canada Total,474403
2000,March,NWT & Yukon,1339
2000,March,New Brunswick,0
2000,March,Nova Scotia,7665
2000,March,Ontario,1587
2000,March,Saskatchewan,17206
2000,April,Alberta,391383
2000,April,British Columbia,60462
2000,April,Canada Total,481287
2000,April,NWT & Yukon,1858
2000,April,New Brunswick,0
2000,April,Nova Scotia,8990
2000,April,Ontario,1583
2000,April,Saskatchewan,17010
2000,May,Alberta,380662
2000,May,British Columbia,60711
2000,May,Canada Total,472605
2000,May,NWT & Yukon,3848
2000,May,New Brunswick,0
2000,May,Nova Scotia,9287
2000,May,Ontario,1552
2000,May,Saskatchewan,16545
2000,June,Alberta,373913
2000,June,British Columbia,58995
2000,June,Canada Total,465688
2000,June,NWT & Yukon,3810
2000,June,New Brunswick,0
2000,June,Nova Scotia,10377
2000,June,Ontario,1610
2000,June,Saskatchewan,16983
2000,July,Alberta,386005
2000,July,British Columbia,52181
2000,July,Canada Total,469649
2000,July,NWT & Yukon,1854
2000,July,New Brunswick,0
2000,July,Nova Scotia,11232
2000,July,Ontario,1590
2000,July,Saskatchewan,16787
2000,August,Alberta,385312
2000,August,British Columbia,59050
2000,August,Canada Total,478429
2000,August,NWT & Yukon,3560
2000,August,New Brunswick,0
2000,August,Nova Scotia,12061
2000,August,Ontario,1587
2000,August,Saskatchewan,16858
2000,September,Alberta,378705
2000,September,British Columbia,56847
2000,September,Canada Total,469487
2000,September,NWT & Yukon,3535
2000,September,New Brunswick,0
2000,September,Nova Scotia,11813
2000,September,Ontario,1583
2000,September,Saskatchewan,17003
2000,October,Alberta,383789
2000,October,British Columbia,59528
2000,October,Canada Total,477425
2000,October,NWT & Yukon,3269
2000,October,New Brunswick,0
2000,October,Nova Scotia,12223
2000,October,Ontario,1590
