Year,Month,Province,Production_mmcfd
2000,January,Alberta,13670
2000,January,British Columbia,1921
2000,January,Canada Total,16354
2000,January,NWT & Yukon,63
2000,January,New Brunswick,
2000,January,Nova Scotia,34
2000,January,Ontario,58
2000,January,Saskatchewan,609
2000,February,Alberta,13811
2000,February,British Columbia,1942
2000,February,Canada Total,16614
2000,February,NWT & Yukon,63
2000,February,New Brunswick,
2000,February,Nova Scotia,134
2000,February,Ontario,56
2000,February,Saskatchewan,608
2000,March,Alberta,13762
2000,March,British Columbia,2010
2000,March,Canada Total,16753
2000,March,NWT & Yukon,47
2000,March,New Brunswick,
2000,March,Nova Scotia,271
2000,March,Ontario,56
2000,March,Saskatchewan,608
2000,April,Alberta,13822
2000,April,British Columbia,2135
2000,April,Canada Total,16996
2000,April,NWT & Yukon,66
2000,April,New Brunswick,
2000,April,Nova Scotia,317
2000,April,Ontario,56
2000,April,Saskatchewan,601
2000,May,Alberta,13443
2000,May,British Columbia,2144
2000,May,Canada Total,16690
2000,May,NWT & Yukon,136
2000,May,New Brunswick,
2000,May,Nova Scotia,328
2000,May,Ontario,55
2000,May,Saskatchewan,584
2000,June,Alberta,13205
2000,June,British Columbia,2083
2000,June,Canada Total,16446
2000,June,NWT & Yukon,135
2000,June,New Brunswick,
2000,June,Nova Scotia,366
2000,June,Ontario,57
2000,June,Saskatchewan,600
2000,July,Alberta,13632
2000,July,British Columbia,1843
2000,July,Canada Total,16585
2000,July,NWT & Yukon,65
2000,July,New Brunswick,
2000,July,Nova Scotia,397
2000,July,Ontario,56
2000,July,Saskatchewan,593
2000,August,Alberta,13607
2000,August,British Columbia,2085
2000,August,Canada Total,16896
2000,August,NWT & Yukon,126
2000,August,New Brunswick,
2000,August,Nova Scotia,426
2000,August,Ontario,56
2000,August,Saskatchewan,595
2000,September,Alberta,13374
2000,September,British Columbia,2008
2000,September,Canada Total,16580
2000,September,NWT & Yukon,125
2000,September,New Brunswick,
2000,September,Nova Scotia,417
2000,September,Ontario,56
2000,September,Saskatchewan,600
2000,October,Alberta,13553
2000,October,British Columbia,2102
2000,October,Canada Total,16860
2000,October,NWT & Yukon,115
2000,October,New Brunswick,
2000,October,Nova Scotia,432
2000,October,Ontario,56
2000,October,Saskatchewan,601
2000,November,Alberta,13620
2000,November,British Columbia,2126
2000,November,Canada Total,17021
2000,November,NWT & Yukon,135
2000,November,New Brunswick,
2000,November,Nova Scotia,444
2000,November,Ontario,71
2000,November,Saskatchewan,625
2000,December,Alberta,13504
2000,December,British Columbia,2069
2000,December,Canada Total,16791
2000,December,NWT & Yukon,142
2000,December,New Brunswick,
2000,December,Nova Scotia,422
2000,December,Ontario,40
2000,December,Saskatchewan,615
2001,January,Alberta,13930
2001,January,British Columbia,2111
2001,January,Canada Total,17260
2001,January,NWT & Yukon,139
2001,January,New Brunswick,
2001,January,Nova Scotia,416
2001,January,Ontario,41
2001,January,Saskatchewan,624
2001,February,Alberta,13859
2001,February,British Columbia,2113
2001,February,Canada Total,17231
2001,February,NWT & Yukon,147
2001,February,New Brunswick,
2001,February,Nova Scotia,471
2001,February,Ontario,32
2001,February,Saskatchewan,610
2001,March,Alberta,13871
2001,March,British Columbia,2086
2001,March,Canada Total,17218
2001,March,NWT & Yukon,140
2001,March,New Brunswick,
2001,March,Nova Scotia,476
2001,March,Ontario,34
2001,March,Saskatchewan,610
2001,April,Alberta,14003
2001,April,British Columbia,2294
2001,April,Canada Total,17514
2001,April,NWT & Yukon,144
2001,April,New Brunswick,
2001,April,Nova Scotia,437
2001,April,Ontario,29
2001,April,Saskatchewan,606
2001,May,Alberta,14018
2001,May,British Columbia,2382
2001,May,Canada Total,17671
2001,May,NWT & Yukon,145
2001,May,New Brunswick,
2001,May,Nova Scotia,485
2001,May,Ontario,31
2001,May,Saskatchewan,609
2001,June,Alberta,13975
2001,June,British Columbia,2356
2001,June,Canada Total,17559
2001,June,NWT & Yukon,113
2001,June,New Brunswick,
2001,June,Nova Scotia,476
2001,June,Ontario,32
2001,June,Saskatchewan,607
2001,July,Alberta,13670
2001,July,British Columbia,2549
2001,July,Canada Total,17481
2001,July,NWT & Yukon,150
2001,July,New Brunswick,
2001,July,Nova Scotia,479
2001,July,Ontario,34
2001,July,Saskatchewan,597
2001,August,Alberta,13618
2001,August,British Columbia,2598
2001,August,Canada Total,17525
2001,August,NWT & Yukon,153
2001,August,New Brunswick,
2001,August,Nova Scotia,522
2001,August,Ontario,38
2001,August,Saskatchewan,596
2001,September,Alberta,13513
2001,September,British Columbia,2490
2001,September,Canada Total,17318
2001,September,NWT & Yukon,152
2001,September,New Brunswick,
2001,September,Nova Scotia,519
2001,September,Ontario,31
2001,September,Saskatchewan,615
2001,October,Alberta,13583
2001,October,British Columbia,2530
2001,October,Canada Total,17468
2001,October,NWT & Yukon,158
2001,October,New Brunswick,
2001,October,Nova Scotia,538
2001,October,Ontario,35
2001,October,Saskatchewan,624
2001,November,Alberta,13757
2001,November,British Columbia,2543
2001,November,Canada Total,17642
2001,November,NWT & Yukon,160
2001,November,New Brunswick,
2001,November,Nova Scotia,517
2001,November,Ontario,38
2001,November,Saskatchewan,627
2001,December,Alberta,13744
2001,December,British Columbia,2636
2001,December,Canada Total,17751
2001,December,NWT & Yukon,137
2001,December,New Brunswick,
2001,December,Nova Scotia,565
2001,December,Ontario,37
2001,December,Saskatchewan,631
2002,January,Alberta,13485
2002,January,British Columbia,2518
2002,January,Canada Total,17320
2002,January,NWT & Yukon,143
2002,January,New Brunswick,
2002,January,Nova Scotia,508
2002,January,Ontario,37
2002,January,Saskatchewan,628
2002,February,Alberta,13602
2002,February,British Columbia,2641
2002,February,Canada Total,17559
2002,February,NWT & Yukon,147
2002,February,New Brunswick,
2002,February,Nova Scotia,517
2002,February,Ontario,36
2002,February,Saskatchewan,616
2002,March,Alberta,13534
2002,March,British Columbia,2796
2002,March,Canada Total,17627
2002,March,NWT & Yukon,122
2002,March,New Brunswick,
2002,March,Nova Scotia,531
2002,March,Ontario,35
